text,label
"Government giving free money click suspicious link immediately","FAKE NEWS"
"Win iphone now submit bank details immediately","FAKE NEWS"
"Breaking news send OTP to claim reward","FAKE NEWS"
"Lottery winner send Aadhaar card now","FAKE NEWS"
"Free recharge for all users click now","FAKE NEWS"
"Fake vaccine causes instant death","FAKE NEWS"
"Aliens landed in Hyderabad yesterday","FAKE NEWS"
"Celebrity died shocking secret leaked","FAKE NEWS"
"Congratulations you won 25 lakh lottery send processing fee","FAKE NEWS"
"Click suspicious banking link now","FAKE NEWS"
"India won the cricket match yesterday","REAL NEWS"
"Stock market closed higher today","REAL NEWS"
"New education policy announced by government","REAL NEWS"
"Heavy rain expected tomorrow in Mumbai","REAL NEWS"
"Scientists discovered new renewable energy source","REAL NEWS"
"Railway department launched new train service","REAL NEWS"
"Parliament session begins next week","REAL NEWS"
"ISRO launches satellite successfully","REAL NEWS"
"Hyderabad metro timings updated","REAL NEWS"
"Indian economy expected to grow next year","REAL NEWS"